Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
Franklin Mills Mall,Enclosed Mall,1455 Franklin Mills Circle,Philadelphia,Philadelphia,PA,19154,40.087059,-74.959231,1540168,,1989,2014,,97.1,304.7,,,,,20004.5,0.0157775,3957537,882693016
03-1-Philadelphia Head Office,Financial Office,10 Independence Mall,Philadelphia,Philadelphia,PA,19106,,,862608,,1976,2014,43,95.5,257.6,,,,,8675.5,16.38148499,3254545,883009505
Northeast Racquet Club - NERC,Fitness Center/Health Club/Gym,1520 Grant Avenue,Philadelphia,Philadelphia,PA,19115,,,117000,,1973,2014,,92.1,223.6,,,,,1146.1,0.138461538,3669125,882069300
Bellevue Associates,Fitness Center/Health Club/Gym,220-24 S Broad St,Philadelphia,Philadelphia,PA,19102,,,93000,,1989,2014,,95.8,259.5,,,,,1044.1,76.38494624,3959844,883427500
"Julius Silvert, Inc",Food Sales,231 E Luzerne Street,Philadelphia,Philadelphia,PA,19426,40.010408,-75.123517,102000,,1970,2014,,69.7,195.5,,,,,859.7,,3811532,884052000
Samuels and Son Seafood,Food Sales,3400 S. Lawrence St.,Philadelphia,Philadelphia,PA,19148,39.90499,-75.158105,61054,,2009,2014,,,,,,,,,,3891122,884153505
"Quaker Valley Foods, Inc.",Food Service,2701 Red Lion Road,Philadelphia,Philadelphia,PA,19114,40.092462,-75.012545,250000,,1974,2014,,174.5,536.3,,,,,5727.5,15.6568,4057814,884288000
8350 Executive Drive Associates,Food Service,8350 Executive Avenue,Philadelphia,Philadelphia,PA,19153,39.884518,-75.228352,67050,,1998,2014,,113.8,280.2,,,,,821.5,8.311707681,4580141,884170400
Philadelphia,Hospital (General Medical & Surgical),University and Woodland Avenues,Philadelphia,Philadelphia,PA,19104,,,1691520,,1966,2014,54,198.7,381.1,,,,,23574.7,30.67241298,1066282,783531800
Mercy Philadelphia Hospital,Hospital (General Medical & Surgical),501 South 54th Street,Philadelphia,Philadelphia,PA,19143,,,613550,,1918,2014,100,108,215.6,,,,,5947,24.02966343,2492942,774005000
Pennsylvania Hospital,Hospital (General Medical & Surgical),800 Spruce St,Philadelphia,Philadelphia,PA,19104,,,873226,,1756,2014,37,247.8,515.3,,,,,20967.2,79.25267915,2561862,771002000
Hospital of the University of Pennsylvania,Hospital (General Medical & Surgical),3400 Spruce St,Philadelphia,Philadelphia,PA,19104,,,1788504,,1913,2014,7,314.4,646.7,,,,,54042.6,79.98617839,2848103,773009000
Penn Presbyterian Medical Center,Hospital (General Medical & Surgical),51 North 39th St,Philadelphia,Philadelphia,PA,19104,,,959580,,1922,2014,54,200,421.8,,,,,16224.7,44.56418433,2867268,774002001
Penn Medicine At Rittenhouse,Hospital (General Medical & Surgical),1800 Lombard St,Philadelphia,Philadelphia,PA,19146,,,272165,,1980,2014,61,154,377.4,,,,,4600.4,36.77842485,3117180,772032010
Temple Episcopal Hospital,Hospital (General Medical & Surgical),100 E. Lehigh Avenue,Philadelphia,Philadelphia,PA,19124,39.990887,-75.13089,399596,,1928,2014,50,229.1,412.3,,,,,7515.3,48.64913563,3584304,777012000
Thompson Building,Hospital (General Medical & Surgical),1020 Sansom Street,Philadelphia,Philadelphia,PA,19107,39.949372,-75.15826,171219,,1925,2014,97,159.8,323.9,,,,,2600.1,,3632497,771020000
Gibbon Building,Hospital (General Medical & Surgical),111 South11th Street,Philadelphia,Philadelphia,PA,19107,,,722268,,1978,2014,12,389.4,656.1,,,,,24506.2,75.74058383,3635424,771013000
Main Building,Hospital (General Medical & Surgical),132 S. 10th Street,Philadelphia,Philadelphia,PA,19107,,,169807,,1906,2014,,320.4,481.7,,,,,4019.7,117.9651016,3635906,771020000
JHN Building,Hospital (General Medical & Surgical),900 WALNUT STREET,Philadelphia,Philadelphia,PA,19107,,,329142,,1980,2014,50,290.2,565.4,,,,,6232.2,27.26604323,3641686,771006900
Foerderer Pavilion,Hospital (General Medical & Surgical),117 South 11th Street,Philadelphia,Philadelphia,PA,19107,,,233930,,1954,2014,45,322.4,513.6,,,,,5875.3,62.26691745,3641702,771013000
Methodist Hospital,Hospital (General Medical & Surgical),2301 South Broad Street,Philadelphia,Philadelphia,PA,19148,,,312144,,1888,2014,18,294.2,562.3,,,,,7934.1,6.216361679,3656490,771010000
Girard Medical Center,Hospital (General Medical & Surgical),801 W. Girard Avenue,Philadelphia,Philadelphia,PA,19122,,,279137,,1989,2014,100,112,224.4,,,,,3022.3,90.13208568,3668258,771032100
St. Joseph's Hospital,Hospital (General Medical & Surgical),1600 W. Girard Avenue,Philadelphia,Philadelphia,PA,19130,39.971975,-75.163506,125500,,1989,2014,27,275.3,592,,,,,3308.7,180.7545817,3668849,772018000
St. Christophers Hospital for Children,Hospital (General Medical & Surgical),Erie Avenue at Front St.,Philadelphia,Philadelphia,PA,19134,,,1043572,,1989,2014,88,148.8,327.5,,,,,11312,40.35485812,3760930,777010000
Einstein Medical Center Philadelphia,Hospital (General Medical & Surgical),5501 Old York Rd,Philadelphia,Philadelphia,PA,19141,,,2207000,,1950,2014,92,157.4,314.5,,,,,24719.2,52.38577254,3762393,776009000
Roxborough Memorial Hospital,Hospital (General Medical & Surgical),5800 Ridge Avenue,Philadelphia,Philadelphia,PA,19128,40.029609,-75.211022,368366,,1890,2014,100,71.1,203.1,,,,,3218.6,47.69386968,3782770,775003010
HUH Main Buildings,Hospital (General Medical & Surgical),230 N Broad Street,Philadelphia,Philadelphia,PA,19102,,,1563117,,1979,2014,,249.1,505.2,,,,,37044.3,60.93920033,3788596,772025000
Nazareth Hospital,Hospital (General Medical & Surgical),2601 Holme Ave,Philadelphia,Philadelphia,PA,19152,40.058698,-75.043505,539000,,1939,2014,77,190.4,354.8,,,,,8676.9,57.73042672,3824648,778009005
Jeanes Hospital,Hospital (General Medical & Surgical),7600 Central Avenue,Philadelphia,Philadelphia,PA,19111,,,930111,,1926,2014,,136,368.9,,,,,8800.9,72.63541663,3890837,778024500
BOYER PAVILION,Hospital (General Medical & Surgical),BROAD &amp;&amp; VENANGO,Philadelphia,Philadelphia,PA,19140,,,344000,,2000,2014,93,159.9,314.5,,,,,5115.8,10.69389535,3969865,777533001
TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,Hospital (General Medical & Surgical),"Rock, Park Ave, Parkinson",Philadelphia,Philadelphia,PA,19140,,,1043288,,2000,2014,2,393.4,782.7,,,,,31550.4,37.73608055,3997483,777014000
Chestnut Hill Hospital,Hospital (General Medical & Surgical),8835 Germantown Ave.,Philadelphia,Philadelphia,PA,19118,40.078271,-75.211419,473062,,1921,2014,52,199.9,391.7,,,,,8348.6,53.7988678,4470406,775001000
33737-Philadelphia Airport,Hotel,One Arrivals Road,Philadelphia,Philadelphia,PA,19153,,,256162,,1995,2014,21,145.8,312.2,,,,,3558.7,58.80848838,1059528,
Sansom Common,Hotel,3600 Walnut Street,Philadelphia,Philadelphia,PA,19104,,,259330,,1997,2014,2,343.4,550.7,,,,,6945.2,56.83569198,1782595,773566000
RD - PLPH Warwick,Hotel,1701 Locust Street,Philadelphia,Philadelphia,PA,19103,,,426999,,1926,2014,14,103.3,228.7,,,,,4453.1,48.15233759,1837036,883703900
Loews Philadelphia Hotel,Hotel,1200 Market Street,Philadelphia,Philadelphia,PA,19107,,,735000,,1932,2014,43,99.1,231.2,,,,,6767.7,33.1047619,1946616,883705320
15683-HI Philadelphia Hist Dist-DJONT2,Hotel,400 Arch Street,Philadelphia,Philadelphia,PA,19106,,,333688,,1970,2014,67,88.2,195.7,,,,,2069.1,0.029069071,2384734,883711100
Sonesta - Philadelphia,Hotel,1800 Market Street,Philadelphia,Philadelphia,PA,19103,,,414000,,1980,2014,21,184.8,286.3,,,,,3800.2,41.41932367,3161456,883700600
Sheraton Hotel-Philadelphia Society Hill,Hotel,One Dock Street,Philadelphia,Philadelphia,PA,19106,,,317000,,1986,2014,34,94.7,215.7,,,,,3018.9,36.99463722,3240346,883710000
311dn-Philadelphia - Airport,Hotel,8900 Bartram Avenue,Philadelphia,Philadelphia,PA,19153,39.886279,-75.249096,78490,,1991,2014,51,105.7,223.6,,,,,782.1,67.90673971,3351472,883743000
PHI Philadelphia Airport Embassy Suites,Hotel,9000 Bartram Ave,Philadelphia,Philadelphia,PA,19153,39.884409,-75.250782,211000,,2006,2014,46,91.6,204,,,,,1905.2,65.12796209,3408943,883743500
Sofitel Philadelphia,Hotel,120 South 17th Street,Philadelphia,Philadelphia,PA,19103,,,290966,,2000,2014,47,93.2,215.4,,,,,2835.2,38.75366881,3410522,883703600
73R49-Philadelphia Ritz Carlton,Hotel,10 Avenue Of The Arts,Philadelphia,Philadelphia,PA,19102,,,350000,,1999,2014,16,136.4,280,,,,,4557.2,60.69285714,3505342,883702100
omni hotel,Hotel,401 chestnut street,Philadelphia,Philadelphia,PA,19106,,,112380,,1989,2014,49,82.5,240.4,,,,,1160,89.36198612,3635927,883711500
Club Quarters Hotel,Hotel,1628 Chestnut Street,Philadelphia,Philadelphia,PA,19103,,,255000,,1927,2014,94,30.8,96.7,,,,,1051.8,26.78039216,3637500,883704900
The Windsor Suites,Hotel,1700 Benjamin Franklin Parkway,Philadelphia,Philadelphia,PA,19103,39.956003,-75.16813,218792,,1963,2014,82,57.2,121.6,,,,,2220,65.91328751,3638505,883720300
Sheraton Suites Philadelphia Airport,Hotel,4101 Island ave,Philadelphia,Philadelphia,PA,19153,39.891255,-75.234511,192000,,1985,2014,52,95.4,215.3,,,,,1827.2,52.69739583,3687911,883742000
Westin Philadelphia Hotel,Hotel,99 South 17th Street,Philadelphia,Philadelphia,PA,19103,,,240000,,1990,2014,50,87.8,198.8,,,,,2166.1,78.89708333,3687917,883704000
Hotel Palomar Philadelphia,Hotel,117 South 17th Street,Philadelphia,Philadelphia,PA,19103,,,130294,,1929,2014,29,134.3,268.3,,,,,1887.9,59.21070809,3687923,883050000
Philadelphia Downtown Courtyard,Hotel,21 N. Juniper Street,Philadelphia,Philadelphia,PA,19107,,,424000,,1926,2014,38,98.3,204.7,,,,,4034.7,42.63773585,3687925,883704700
Philadelphia Ronald McDonald House,Hotel,3921-3925 Chestnut St,Philadelphia,Philadelphia,PA,19104,,,79641,,1885,2014,90,65.4,139.1,,,,,403.9,20.22953002,3688012,773080515
33703-Philadelphia,Hotel,1201 Market Street,Philadelphia,Philadelphia,PA,19107,,,1299546,,1993,2014,33,131.9,254.6,,,,,14940.4,44.63327962,3707280,883704500
Holiday Inn Express Midtown,Hotel,1305 Walnut Street,Philadelphia,Philadelphia,PA,19107,,,110000,,1964,2014,49,48.6,151.1,,,,,709.3,65.70545455,3727278,883700000
Hilton Garden Inn Center City,Hotel,1100 Arch Street,Philadelphia,Philadelphia,PA,19107,,,172000,,2000,2014,58,83,199.4,,,,,1504.3,44.46802326,3751718,883705201
097-Hampton Inn - Philadelphia,Hotel,1301 Race Street,Philadelphia,Philadelphia,PA,19107,,,202400,,2001,2014,61,74.7,174.9,,,,,1230.2,45.83992095,3762103,883704760
171-Rittenhouse Hotel,Hotel,210 West Rittenhouse Square,Philadelphia,Philadelphia,PA,19103,39.949834,-75.172856,134484,,1989,2014,1,203.6,453.1,,,,,2698.1,0.810505339,3762129,883702700
Homewood Suites University City,Hotel,4109 Walnut Street,Philadelphia,Philadelphia,PA,19104,39.954487,-75.20566,110000,,2012,2014,41,86.8,199.4,,,,,967.1,53.41,3773012,883733000
Doubletree Hotel,Hotel,233 South Broad Street,Philadelphia,Philadelphia,PA,19107,,,368464,,1983,2014,68,58.6,160.6,,,,,3926.6,69.08354683,3774262,883702001
Le Meridien Philadelphia Hotel,Hotel,1419 arch St,Philadelphia,Philadelphia,PA,19102,,,163000,,1906,2014,36,96.7,246.5,,,,,1750.1,34.51717791,3823128,883057105
Four Points Hotel/Richfield Hosipitality,Hotel,9461 Roosevelt Blvd,Philadelphia,Philadelphia,PA,19114,40.079941,-75.029191,179000,,1973,2014,41,84.1,200.3,,,,,1573.9,36.80782123,3831435,883760000
Holiday Inn Express Penns Landing,Hotel,100 North Columbus Blvd.,Philadelphia,Philadelphia,PA,19106,39.952439,-75.140357,87000,,1986,2014,38,86.2,191.2,,,,,736.7,56.54022989,3875677,883710500
Sheraton University City Hotel,Hotel,3501 Chestnut Street,Philadelphia,Philadelphia,PA,19104,,,252880,,1976,2014,15,156.4,325.8,,,,,3029.1,90.76716229,3876329,883730000
Philadelphia PA AH,Hotel,4301 Island Ave,Philadelphia,Philadelphia,PA,19153,,,64000,,1980,2014,12,91.9,215.5,,,,,710.9,58.8828125,3876478,883742800
RAMADA,Hotel,11550-11580 ROOSEVELT BLVD,Philadelphia,Philadelphia,PA,19116,,,64796,,1964,2014,1,102.2,194.9,,,,,571,158.8060991,3877095,883763500
Philadelphia PA FP,Hotel,4101 Island Ave,Philadelphia,Philadelphia,PA,19153,39.891255,-75.234511,88000,,1980,2014,47,108.9,242.9,,,,,956.2,70.81477273,3877200,883742500
Hilton Home2 Hotel,Hotel,1200 Arch St,Philadelphia,Philadelphia,PA,19107,,,151000,,2013,2014,70,79.6,177.2,,,,,1187.1,30.05231788,3898799,883705215
Holiday Inn Stadium,Hotel,900 Packer Avenue,Philadelphia,Philadelphia,PA,19148,39.910199,-75.163729,150800,,1972,2014,,127.8,282.4,,,,,1886.9,359.0941645,3952018,883740000
Hilton Philadelphia-Homewood Suites,Hotel,4200 City Avenue,Philadelphia,Philadelphia,PA,19131,40.005012,-75.218313,258000,,2000,2014,50,99.2,204.3,,,,,2358,64.42170543,3954556,883753000
Sheraton Philadelphia Downtown,Hotel,201 North 17th Street,Philadelphia,Philadelphia,PA,19103,,,800562,,1980,2014,96,56.4,102.2,,,,,3910,61.22623857,3954641,883720000
Hotel Monaco Philadelphia,Hotel,433 Chestnut Street,Philadelphia,Philadelphia,PA,19106,,,194128,,1907,2014,10,148.4,298.7,,,,,2601.8,50.1885354,4054368,883009700
Hawthorn Suites Philadelphia Airport,Hotel,4521 Island Avenue,Philadelphia,Philadelphia,PA,19153,39.888542,-75.232932,100000,,1994,2014,28,56.1,147.1,,,,,638.5,26.809,4495651,883741000
Hilton Pennslanding Philadelphia,Hotel,201 S Columbus Blvd,Philadelphia,Philadelphia,PA,19106,39.945099,-75.141817,172800,,1999,2014,3,244.4,524.8,,,,,3501.7,74.21643519,4547873,883710700
Cobbs Creek Rec Center & Ice Rink,Ice/Curling Rink,280 Cobbs Creek Pky,Philadelphia,Philadelphia,PA,19139,39.957264,-75.247888,66000,,1904,2014,,79.4,211.8,,,,,605.8,3.083333333,4392783,783097300
William Penn Charter School,K-12 School,3000 West School House Lane,Philadelphia,Philadelphia,PA,19144,40.024419,-75.184944,308325,,1925,2014,62,90.2,171.3,,,,,2389.4,13.11505716,1567464,775533000
Greenberg,K-12 School,600 SHARON LANE,Philadelphia,Philadelphia,PA,19115,,,90000,,1965,2014,90,55.5,90.1,,,,,455.7,6.324444444,3330724,786010200
Loesche,K-12 School,595 TOMLINSON RD,Philadelphia,Philadelphia,PA,19116,,,88000,,1967,2014,73,53.6,89.1,,,,,362.1,14.99090909,3330725,786056400
West Philadelphia (New),K-12 School,4901 Chestnut St,Philadelphia,Philadelphia,PA,19139,,,170013,,2011,2014,36,65.4,143,,,,,1078.5,6.681253786,3330726,783094900
Dobbins CTE,K-12 School,2100-50 W LEHIGH AVE,Philadelphia,Philadelphia,PA,19132,,,312395,,1938,2014,74,96.3,126.8,,,,,1907.3,18.31783479,3330734,785314800
Dick,K-12 School,2498 W DIAMOND ST,Philadelphia,Philadelphia,PA,19121,39.987021,-75.174392,71000,,1954,2014,29,77.4,115.7,,,,,476.5,9.101408451,3330735,784108400
Gompers,K-12 School,5701 WYNNEFIELD AVE,Philadelphia,Philadelphia,PA,19131,39.991969,-75.237521,56000,,1949,2014,21,129,169.4,,,,,592.8,1.642857143,3330736,783766600
Mastbaum CTE,K-12 School,3116 FRANKFORD AVE,Philadelphia,Philadelphia,PA,19134,,,221000,,1929,2014,27,116.2,170.3,,,,,1776.2,3.611312217,3330738,786145800
Saul CTE,K-12 School,7100 HENRY AVE,Philadelphia,Philadelphia,PA,19128,,,104018,,1980,2014,67,68.5,126.8,,,,,664.9,13.70532023,3330742,784190100
Girls High,K-12 School,1400 WEST OLNEY AVE,Philadelphia,Philadelphia,PA,19141,40.039071,-75.145508,233372,,1958,2014,55,76.8,108.6,,,,,1204.5,17.12587628,3330743,785056600
Kinsey,K-12 School,6501 LIMEKILN PIKE,Philadelphia,Philadelphia,PA,19138,40.053045,-75.152874,89200,,1915,2014,84,31.8,44,,,,,187.3,1.961883408,3330744,784226200
Pennell,K-12 School,1800 NEDRO AVE,Philadelphia,Philadelphia,PA,19141,40.04366,-75.150834,70498,,1927,2014,8,99.7,136.6,,,,,590.9,7.184600982,3330745,785356200
Olney HS,K-12 School,100 W DUNCANNON AVE,Philadelphia,Philadelphia,PA,19120,40.02918,-75.122735,332185,,1931,2014,72,70,120,,,,,2149.8,10.29757515,3330746,785345400
Finletter,K-12 School,6101 N FRONT ST,Philadelphia,Philadelphia,PA,19120,,,62760,,1930,2014,21,119.8,158.4,,,,,621.7,0.339388145,3330748,785202400
Franklin ES,K-12 School,5735 RISING SUN AVE,Philadelphia,Philadelphia,PA,19120,40.042331,-75.105204,76930,,1916,2014,46,108.1,179.9,,,,,764.3,10.68243858,3330749,786458400
Marshall J,K-12 School,4500 GRISCOM ST,Philadelphia,Philadelphia,PA,19124,40.014584,-75.087012,58450,,1909,2014,48,76.5,103.9,,,,,373.4,7.972626176,3330751,786487800
Ziegler,K-12 School,5935 SAUL ST,Philadelphia,Philadelphia,PA,19149,40.030266,-75.07558,21149,,1956,2014,70,69.7,129,,,,,345.7,37.32091352,3330753,786076410
Northeast,K-12 School,1601 COTTMAN AVE,Philadelphia,Philadelphia,PA,19111,40.054675,-75.07214,310296,,1957,2014,80,79.4,124.2,,,,,1830.1,27.32971099,3330756,786082200
Baldi,K-12 School,8801 VERREE RD,Philadelphia,Philadelphia,PA,19115,40.093539,-75.052112,185113,,1974,2014,76,54.9,123,,,,,1091.2,8.157719879,3330758,786546800
Disston,K-12 School,6801 COTTAGE ST,Philadelphia,Philadelphia,PA,19135,40.028623,-75.04683,67842,,1923,2014,55,77.4,106.3,,,,,439.6,10.84873677,3330760,786081400
Forrest,K-12 School,7300 COTTAGE ST,Philadelphia,Philadelphia,PA,19136,40.033315,-75.037759,63250,,1928,2014,33,108.5,150.6,,,,,548.1,9.075098814,3330761,786039800
Fox Chase,K-12 School,700 RHAWN ST,Philadelphia,Philadelphia,PA,19111,40.075456,-75.080171,52500,,1949,2014,34,107.3,180.7,,,,,519.2,17.55809524,3330762,786455000
Holme,K-12 School,9120 ACADEMY RD,Philadelphia,Philadelphia,PA,19114,40.053103,-75.00856,73000,,1950,2014,16,87.9,155.9,,,,,520.2,31.85890411,3330763,786002100
Mayfair,K-12 School,3001 PRINCETON AVE,Philadelphia,Philadelphia,PA,19149,,,72000,,1949,2014,63,86.5,130.2,,,,,440.3,21.80694444,3330764,786438600
Solis-Cohen,K-12 School,7001 HORROCKS ST.,Philadelphia,Philadelphia,PA,19149,40.044756,-75.066506,91000,,1948,2014,15,103.8,151.5,,,,,651.1,46.45274725,3330766,786543600
Farrell,K-12 School,8300 CASTOR AVE,Philadelphia,Philadelphia,PA,19152,40.066275,-75.051958,66382,,1958,2014,35,60.3,107.1,,,,,378.9,1.300051219,3330767,786066400
Frank,K-12 School,2000 BOWLER ST,Philadelphia,Philadelphia,PA,19115,40.088394,-75.028069,74500,,1961,2014,80,65.4,103.1,,,,,357.9,11.63624161,3330768,786309400
Pollock,K-12 School,2850 WELSH RD,Philadelphia,Philadelphia,PA,19152,40.059728,-75.028009,73000,,1962,2014,56,76.4,117.4,,,,,401,14.69726027,3330769,786569600
Decatur,K-12 School,3500 ACADEMY RD,Philadelphia,Philadelphia,PA,19154,,,89247,,1965,2014,11,65.9,128.9,,,,,587.8,10.5583381,3330770,786001800
School of the Future,K-12 School,4021 PARKSIDE AVE,Philadelphia,Philadelphia,PA,19104,,,162000,,2006,2014,12,94.5,206.2,,,,,1484.8,6.137037037,3330772,783172380
Sayre,K-12 School,5800 WALNUT ST,Philadelphia,Philadelphia,PA,19139,,,200000,,1950,2014,50,103.7,144.6,,,,,1377.2,10.803,3330775,783568200
Sulzberger,K-12 School,4725 FAIRMOUNT AVE,Philadelphia,Philadelphia,PA,19139,,,120000,,1924,2014,20,88.5,117.6,,,,,678.4,8.995833333,3330777,783707600
Turner,K-12 School,5900 BALTIMORE AVE,Philadelphia,Philadelphia,PA,19143,,,190000,,1971,2014,28,50.3,98.2,,,,,840.6,11.80842105,3330779,783030800
Barry,K-12 School,5900 RACE ST,Philadelphia,Philadelphia,PA,19139,39.964838,-75.238506,99287,,2008,2014,67,51.2,124.3,,,,,540.7,20.06103518,3330781,783431200
Bryant,K-12 School,6001 CEDAR AVE,Philadelphia,Philadelphia,PA,19143,,,94235,,1904,2014,22,101,128.9,,,,,588.7,7.369873189,3330783,783087800
Catherine,K-12 School,6600 CHESTER AVE,Philadelphia,Philadelphia,PA,19142,,,57500,,1937,2014,69,87.1,119.3,,,,,327.9,7.295652174,3330784,783094200
Comegys,K-12 School,5001 GREENWAY AVE,Philadelphia,Philadelphia,PA,19143,39.940839,-75.215411,70644,,1911,2014,4,105.8,145.8,,,,,491.7,6.561066757,3330786,783183400
Penn Alexander,K-12 School,4209 SPRUCE ST,Philadelphia,Philadelphia,PA,19104,,,84357,,2002,2014,10,90.9,209.6,,,,,779.2,10.33464917,3330789,773151500
Hamilton,K-12 School,5640 SPRUCE ST,Philadelphia,Philadelphia,PA,19139,,,89500,,1968,2014,38,66.8,119.6,,,,,488.7,4.748603352,3330790,783499600
