Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,BINs,Borough,Number of Buildings
,Multifamily Housing,26-10 UNION STREET,New York,Queens,NY,11354,,,500710,499960,,2013,,125.3,168.6,,,3915.2,798.5,4713.7,,10879,4042850010,,4042850010,4433296,Queens,6
,Multifamily Housing,26-20 WHITESTONE EP SR W,New York,Queens,NY,11357,,,260961,274009,,2013,,,,,,,,,,10882,4043120010,,4043120010,4433308,Queens,3
,Multifamily Housing,26-20 WHITESTONE EP SR W,New York,Queens,NY,11357,,,260961,274009,,2013,,108.3,246.1,108.9,246.6,671.3,1413,2084.3,,10883,4043120010,,4043120010,4433308;4449845,Queens,3
,Multifamily Housing,29-10 137 STREET,New York,Queens,NY,11354,,,265404,225990,,2013,,91.2,134.5,90.7,134.1,871,340.8,1211.8,,10892,4043710008,,4043710008,4433323,Queens,3
,Multifamily Housing,31-50 140 STREET,New York,Queens,NY,11354,,,176611,176611,,2013,,79.4,116.3,79.1,116,596.7,226.1,822.8,,10893,4043740035,,4043740035,4433327;4433328,Queens,2
,Multifamily Housing,31-30 138 STREET,New York,Queens,NY,11354,,,187936,160936,,2013,,22.1,63,22.1,63.1,25.6,249.5,275.1,,10900,4044100056,,4044100056,4433331;4433332;4433333;4440076,Queens,3
,Multifamily Housing,40-01 VERNON BOULEVARD,New York,Queens,NY,11101,,,362400,1249000,,2013,,,,,,2088.7,,,,9930,4004700001,Primary,4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4441787;4441791;4441792;4441793;4441798,Queens,12
,,40-01 12 STREET,New York,Queens,NY,11101,,,362400,,,2013,,,,,,,,,,9932,4004700200,Secondary,4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4441787;4441791;4441792;4441793;4441798,Queens,12
,,,New York,Queens,NY,,,,,,,2013,,,,,,,,,,15964,4004700100,Secondary,4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4441787;4441791;4441792;4441793;4441798,Queens,
,Multifamily Housing,40-01 VERNON BOULEVARD,New York,Queens,NY,11101,,,362400,2533600,,2013,,,,,,685.9,,,,9931,4004700001,Primary,4004650001;4004650100;4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422;4441787;4441791;4441792;4441793;4441798,Queens,12
,,41-01 10 STREET,New York,Queens,NY,11101,,,353000,,,2013,,,,,,,,,,9929,4004650100,Secondary,4004650001;4004650100;4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422;4441787;4441791;4441792;4441793;4441798,Queens,15
,,40-01 12 STREET,New York,Queens,NY,11101,,,362400,,,2013,,,,,,,,,,9933,4004700200,Secondary,4004650001;4004650100;4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422;4441787;4441791;4441792;4441793;4441798,Queens,12
,,41-01 VERNON BOULEVARD,New York,Queens,NY,11101,,,774036,,,2013,,,,,,,,,,9927,4004650001,Secondary,4004650001;4004650100;4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422;4441787;4441791;4441792;4441793;4441798,Queens,35
,,,New York,Queens,NY,,,,,,,2013,,,,,,,,,,15965,4004700100,Secondary,4004650001;4004650100;4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422;4441787;4441791;4441792;4441793;4441798,Queens,
,Multifamily Housing,41-01 VERNON BOULEVARD,New York,Queens,NY,11101,,,774036,1284600,,2013,,,,,,4449,,,,9926,4004650001,Primary,4004650001;4004650100,4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422,Queens,35
,,41-01 10 STREET,New York,Queens,NY,11101,,,353000,,,2013,,,,,,,,,,9928,4004650100,Secondary,4004650001;4004650100,4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422,Queens,15
,Multifamily Housing,,New York,Queens,NY,,,,,102207,,2013,,43.6,97.4,43.2,96.3,67.5,134.9,202.4,,16055,4062847501,,4062847501,4433427,Queens,
,Multifamily Housing,62-42 WOODHAVEN BOULEVARD,New York,Queens,NY,11374,,,319025,319025,,2013,,73.3,87.8,72.8,87.2,1166.4,136.2,1302.6,,10639,4029740085,,4029740085,4433816;4433817;4433818,Queens,3
,Multifamily Housing,,New York,Queens,NY,,,,,31487,,2013,,,,,,,,,,16009,4030140032,,4030140032,4433824,Queens,
,Multifamily Housing,63-89 SAUNDERS STREET,New York,Queens,NY,11374,,,160968,169016,,2013,,,,,,,,,,10657,4030820082,,4030820082,4433846,Queens,2
,Multifamily Housing,63-89 SAUNDERS STREET,New York,Queens,NY,11374,,,160968,169016,,2013,,,,,,,,,,10658,4030820082,,4030820082,4433847,Queens,2
,Multifamily Housing,,New York,Queens,NY,,,,,75246,,2013,,128.1,162.8,127.3,161.8,636.8,96,732.8,,16013,4031040023,,4031040023,4433848;4433849,Queens,
,Multifamily Housing,104-20 QUEENS BOULEVARD,New York,Queens,NY,11375,,,1741458,1741458,,2013,,52.4,108.2,52.1,107.6,3216.5,3662.1,6878.6,,10725,4031750001,,4031750001,4433858;4433859;4433860,Queens,3
,Multifamily Housing,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,174480,,2013,,9.2,13.7,9.2,13.7,69.5,27.8,97.3,,10731,4032340051,,4032340051,4433862,Queens,10
,Multifamily Housing,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,174480,,2013,,9,13.2,9,13.1,69.5,25.2,94.7,,10732,4032340051,,4032340051,4433863,Queens,10
,Multifamily Housing,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,174480,,2013,,9.2,13.9,9.2,13.9,69.5,28.4,97.9,,10733,4032340051,,4032340051,4433864,Queens,10
,Multifamily Housing,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,174480,,2013,,9.1,13.4,9.1,13.3,69.5,26.1,95.6,,10734,4032340051,,4032340051,4433865,Queens,10
,Multifamily Housing,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,174480,,2013,,8.6,11.7,8.6,11.7,69.5,18.8,88.3,,10735,4032340051,,4032340051,4433867,Queens,10
,Multifamily Housing,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,174480,,2013,,9.1,13.5,9.1,13.5,69.5,26.6,96.1,,10738,4032340051,,4032340051,4433867,Queens,10
,Other,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,9693,,2013,,,,,,,,,,10736,4032340051,,4032340051,4433871,Queens,10
,Multifamily Housing,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,174480,,2013,,8.7,12.1,8.7,12,69.5,20.3,89.8,,10737,4032340051,,4032340051,4433871,Queens,10
,Other,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,9693,,2013,,,,,,,,,,10739,4032340051,,4032340051,4433871,Queens,10
,Other,68-09 BURNS STREET,New York,Queens,NY,11375,,,174480,9693,,2013,,,,,,,,,,10740,4032340051,,4032340051,4433871,Queens,10
,Multifamily Housing,,New York,Queens,NY,,,,,31487,,2013,,,,,,,,,,16010,4030150011,,4030150011,4433875,Queens,
,Multifamily Housing,70-25 YELLOWSTONE BLVD,New York,Queens,NY,11375,,,575600,575600,,2013,,156.7,201.7,,,4245,832.1,5077.1,47.53,10743,4032360035,,4032360035,4433878,Queens,2
,Multifamily Housing,118-60 METROPOLITAN AVENUE,New York,Queens,NY,11415,,,141000,154818,,2013,,78.9,111.7,78.2,110.8,534.4,174.1,708.5,,10779,4033220024,,4033220024,4433886;4433887,Queens,2
,Multifamily Housing,83-75 118 STREET,New York,Queens,NY,11415,,,141645,155526,,2013,,81.2,113.6,80.8,113,567.7,172.7,740.4,,10786,4033220156,,4033220156,4433890;4433891,Queens,2
,Multifamily Housing,,New York,Queens,NY,,,,,86495,,2013,,77.5,92.9,77.1,92.4,330.3,38.9,369.2,,16014,4033560023,,4033560023,4433895;4433896,Queens,
,Multifamily Housing,87-40 FRANCIS LEWIS BLVD,New York,Queens,NY,11427,,,192616,215852,,2013,,93.5,133.7,93.6,133.9,883.5,298.8,1182.3,,11723,4105350010,,4105350010,4434606;4434607,Queens,2
,Multifamily Housing,204-15 FOOTHILL AVENUE,New York,Queens,NY,11423,,,185016,215852,,2013,,87,124.8,86.5,124.3,822.2,281.2,1103.4,,11724,4105350050,,4105350050,4434608;4434609,Queens,2
,Multifamily Housing,87-10 204 STREET,New York,Queens,NY,11423,,,277524,323778,,2013,,92.7,131.6,92,130.9,1315.5,432.4,1747.9,,11725,4105380010,,4105380010,4434610;4434611;4434612,Queens,3
,Multifamily Housing,87-50 204 STREET,New York,Queens,NY,11423,,,185016,215852,,2013,,82.7,123.5,82.1,123,749.4,308.4,1057.8,,11726,4105380070,,4105380070,4315260;4434613,Queens,2
,Multifamily Housing,86-09 GRAND CENTRL PARKWAY,New York,Queens,NY,11427,,,290112,304760,,2013,,104.6,129.3,103,127.6,1541.5,231,1772.5,,11727,4105930002,,4105930002,4434645;4434646;4434647;4434648;4434649;4434650;4434651;4434652,Queens,8
,Multifamily Housing,86-10 151 AVENUE,New York,Queens,NY,11414,,,169000,192166,,2013,,67.9,78.3,67.5,77.9,658.1,52.5,710.6,,11745,4114310015,,4114310015,4434841;4434842,Queens,2
,Multifamily Housing,151-20 88 STREET,New York,Queens,NY,11414,,,169000,216883,,2013,,58.9,94,58.4,93.3,501.6,271.2,772.8,,11746,4114310036,,4114310036,4434843;4434844,Queens,2
,Multifamily Housing,89-35 155 AVENUE,New York,Queens,NY,11414,,,152100,177450,,2013,,78.5,119.9,78,119.5,570.3,258.7,829,,11749,4114340025,,4114340025,4434847;4434848,Queens,2
,Multifamily Housing,88-25 155 AVENUE,New York,Queens,NY,11414,,,152100,177282,,2013,,87,128.8,86.3,128.1,649.7,258.6,908.3,,11750,4114340050,,4114340050,4434854;4434855,Queens,2
,Multifamily Housing,151-25 88 STREET,New York,Queens,NY,11414,,,152100,152100,,2013,,103.4,131.7,,,815.3,141.6,956.9,,11752,4114340100,,4114340100,4434858;4434859,Queens,2
,Multifamily Housing,84-09 155 AVENUE,New York,Queens,NY,11414,,,158600,171400,,2013,,88.3,126.2,87.6,125.5,658.1,223,881.1,,11753,4114460001,,4114460001,4434862;4434863,Queens,2
,Multifamily Housing,84-10 153 AVENUE,New York,Queens,NY,11414,,,158600,171400,,2013,,90.8,128.1,90.2,127.5,683.4,218.6,902,,11754,4114460012,,4114460012,4434867;4434868,Queens,2
,Multifamily Housing,84-40 153 AVENUE,New York,Queens,NY,11414,,,158600,171400,,2013,,85.6,127.1,85,126.3,617.5,247.8,865.3,,11755,4114460050,,4114460050,4434872;4434873,Queens,2
,Multifamily Housing,,New York,Queens,NY,,,,,93786,,2013,,91.3,135.6,90.2,134.4,501,155.3,656.3,,16130,4114510009,,4114510009,4434882,Queens,
,Multifamily Housing,155-31 155 AVENUE,New York,Queens,NY,11414,,,112500,113625,,2013,,125.7,162.6,124.2,160.9,669.6,135.3,804.9,,11756,4114590001,,4114590001,4434905;4434906;4434907;4434908;4434909;4434910;4434911;4434912;4434913;4434916,Queens,12
,Multifamily Housing,,New York,Queens,NY,,,,,93409,,2013,,118.7,161.9,117.4,160.4,500.4,135.3,635.7,,16132,4114610002,,4114610002,4434925;4434926;4434927;4434928;4434929;4434930;4434931;4434932;4434933;4434938,Queens,
,Multifamily Housing,,New York,Queens,NY,,,,,85672,,2013,,99.3,143,98.5,142.2,367.2,129.1,496.3,,16133,4114660001,,4114660001,4435003;4435004;4435005;4435006;4435007;4435008;4435009;4435013,Queens,
,Multifamily Housing,83-75 WOODHAVEN BOULEVARD,New York,Queens,NY,11421,,,170772,144000,,2013,,122.2,176.8,121.1,175.7,756.3,272.1,1028.4,,10852,4039070970,,4039070970,4435122;4435123;4833979,Queens,2
,Multifamily Housing,83-85 WOODHAVEN BOULEVARD,New York,Queens,NY,11421,,,310050,237530,,2013,,104,151.5,103.2,150.8,1072.1,392.1,1464.2,,10853,4039070975,,4039070975,4435191;4435192;4435193,Queens,3
,Multifamily Housing,62-49 84 STREET,New York,Queens,NY,11379,,,292651,292651,,2013,,78.4,88.7,77.9,88.2,1183.9,73.8,1257.7,,10638,4029740060,,4029740060,4435196;4435197;4435198,Queens,1
,Multifamily Housing,,New York,Queens,NY,,,,,279960,,2013,,58.5,88.5,58.2,88.2,676,295.5,971.5,,16135,4120450001,Primary,4120450001;4120510020,4261713;4435201;4435201;4440624;4440627;4440628;4440628,Queens,
,,125-30 SUTPHIN BOULEVARD,New York,Queens,NY,11434,,,195000,,,2013,,,,,,,,,,11760,4120510020,Secondary,4120450001;4120510020,4261713;4435201;4435201;4440624;4440627;4440628;4440628,Queens,9
,Multifamily Housing,116-30 GUY R BREWER BLVD,New York,Queens,NY,11434,,,214496,402700,,2013,,,,,,,825.1,,,11771,4122350022,Primary,4122350022;4123350044,4435280;4435282;4435292;4435293;4435294;4529903,Queens,3
,,116-45 GUY R BREWER BLVD,New York,Queens,NY,11434,,,615000,,,2013,,,,,,,,,,11778,4123350044,Secondary,4122350022;4123350044,4435280;4435282;4435292;4435293;4435294;4529903,Queens,3
,Multifamily Housing,166-01 LINDEN BOULEVARD,New York,Queens,NY,11434,,,234636,131982,,2013,,67,114.9,,,320,228.7,548.7,,11775,4123220001,,4123220001,4435290,Queens,2
,Multifamily Housing,166-01 LINDEN BOULEVARD,New York,Queens,NY,11434,,,234636,131982,,2013,,43.2,86.9,,,163.6,213.3,376.9,,11776,4123220001,,4123220001,4435291,Queens,2
,Multifamily Housing,131-03 234 STREET,New York,Queens,NY,11422,,,152362,152362,,2013,,101.1,108.8,,,820.3,16.5,836.8,,11781,4129450002,,4129450002,4435376;4435377;4435378;4435379;4435380;4435381;4436359;4460598;4460599;4460600;4460601;4460602;4460603;4460604;4460605;4460606;4460607;4460608;4460609;4460610;4460611;4460612;4460613;4460614;4460615;4460616;4460617;4460618;4460619;4460620;4460621;4460622;4460623;4460624;4460625;4460626;4460627;4460651;4460652;4460653;4460654;4460655;4460656;4460657;4460658;4460659;4460660;4460661;4460663;4460665;4460667;4460669;4460671;4460714;4460715;4460716;4460718;4460720;4460722;4460724;4460726;4460728;4460730;4460751;4460752;4460753;4460754;4460755;4460756;4460757;4460758;4460759;4460760;4460762;4460763;4460764;4460765;4460766;4460767;4460768;4460769;4460770;4460771;4460772;4460773;4460774;4460775;4460776;4460777;4460778;4460779;4460780;4460781;4460782;4460783;4460784;4460785;4460786;4463822;4463823;4463824;4463825;4463826;4463827;4463828;4541301;4541302;4541303;4541304;4541305;4541306;4541307;4541308;4541309;4541310;4541311;4541312;4541313;4541314;4541315;4541316;4541317;4541318;4541319;4541320,Queens,15
,Multifamily Housing,,New York,Queens,NY,,,,,93829,,2013,,127.4,170.8,125.8,168.9,546.2,135.3,681.5,,16141,4139430001,,4139430001,4435446;4435447;4435450;4460473;4460474;4460475;4460476;4460477;4460478;4460479;4460480;4460481;4460482;4460483;4460484;4460485;4460486;4460487;4460488;4460489;4460490;4460491;4460492;4460493;4460495;4460504;4460505;4460506;4460509;4460516,Queens,
,Multifamily Housing,20-55 SEAGIRT BOULEVARD,New York,Queens,NY,11691,,,322584,215056,,2013,,69,80.1,69,80.1,746.3,63.6,809.9,,11847,4158150220,,4158150220,4436085;4436086,Queens,9
,Multifamily Housing,20-55 SEAGIRT BOULEVARD,New York,Queens,NY,11691,,,322584,107528,,2013,,63.8,72.8,63.6,72.6,347.9,24.6,372.5,,11848,4158150220,,4158150220,4436087,Queens,9
,Multifamily Housing,20-21 SEAGIRT BOULEVARD,New York,Queens,NY,11691,,,252700,215700,,2013,,57,66.9,56.8,66.7,614.3,59,673.3,,11840,4158100001,,4158100001,4436091;4436092;4436092;4440808;4440809;4440811,Queens,6
,Multifamily Housing,20-28 SEAGIRT BOULEVARD,New York,Queens,NY,11691,,,242770,220201,,2013,,51.2,65.9,51.1,65.8,530.2,104.1,634.3,,11839,4157800100,,4157800100,4436112;4436113;4440804;4440805;4440806;4440807,Queens,6
,Multifamily Housing,,New York,Queens,NY,,,,,55218,,2013,,111.8,154.2,111.8,154.4,384.3,87.1,471.4,,16143,4157390001,,4157390001,4436122;4436123;4436124;4436125;4436126,Queens,
,Multifamily Housing,125 BEACH 17 STREET,New York,Queens,NY,11691,,,837934,631108,,2013,,70.6,104.8,70.1,104.3,1873.6,753.1,2626.7,,11822,4156380001,,4156380001,4436178;4436179;4436180;4436181,Queens,4
,Multifamily Housing,81-04 ROCKAWAY BEACH BLVD,New York,Queens,NY,11693,,,666256,815950,,2013,,,,,,,,,,11867,4161140002,,4161140002,4436309;4436310;4436311;4436312;4436313;4436314;4436315;4436316;4436317;4436318;4436319;4436320;4436321;4463573,Queens,1
,Multifamily Housing,324 BEACH 59 STREET,New York,Queens,NY,11692,,,408288,408288,,2013,,115.6,160.5,,,2838.6,679.7,3518.3,6.88,11853,4158950050,,4158950050,4436427,Queens,6
,Multifamily Housing,51-32 BEACH CHANNEL DRIVE,New York,Queens,NY,11691,,,587170,1529100,,2013,,,,,,,,,,11861,4160010002,Primary,4160010002;4160020001,4436433;4436434;4436435;4436436;4436437;4436438;4436439;4436440;4436441;4436442;4436443;4436444;4436445;4436446;4436447;4436448;4436449;4436450;4436451;4436452;4436453;4436454;4436456;4440393,Queens,10
,,56-10 BEACH CHANNEL DRIVE,New York,Queens,NY,11692,,,820910,,,2013,,,,,,,,,,11862,4160020001,Secondary,4160010002;4160020001,4436433;4436434;4436435;4436436;4436437;4436438;4436439;4436440;4436441;4436442;4436443;4436444;4436445;4436446;4436447;4436448;4436449;4436450;4436451;4436452;4436453;4436454;4436456;4440393,Queens,15
,Multifamily Housing,10-55 47 AVENUE,New York,Queens,NY,11101,,,58572,58572,,2013,,67,112.9,66.4,111.8,144.9,97.1,242,22.43,9739,4000477501,,4000477501,4436608,Queens,1
,Non-Refrigerated Warehouse,,New York,Queens,NY,,,,,87469,,2013,62,40.3,84.2,,,130.9,145.3,276.2,11.55,15948,4000980011,,4000980011,4436642,Queens,
,Office,47-10 AUSTELL PLACE,New York,Queens,NY,11101,,,75864,75864,,2013,,28.7,56.3,28.4,55.6,65.1,77.3,142.4,,9749,4000980030,,4000980030,4436643,Queens,1
,Other,34-35 REVIEW AVENUE,New York,Queens,NY,11101,,,139837,160000,,2013,,110.9,184.8,107.6,179.6,664.6,425.3,1089.9,4.23,9885,4002970001,,4002970001,4436714,Queens,1
,Distribution Center,42-11 QUEENS PLAZA SOUTH,New York,Queens,NY,11101,,,105000,110250,,2013,7,69.1,174.5,69,174.3,119.3,437.2,556.5,,9925,4004610016,,4004610016,4436828;4436829,Queens,1
,Hospital (General Medical & Surgical),,New York,Queens,NY,,,,,61080,,2013,69,439.1,846.3,441.5,849.1,982.2,928.1,1910.3,,15971,4005760012,,4005760012,4436864,Queens,
,Non-Refrigerated Warehouse,4-05 26 AVENUE,New York,Queens,NY,11102,,,105500,49654,,2013,43,50,94.6,48.9,93.4,78.7,81.3,160,24.86,10026,4009070008,,4009070008,4437040,Queens,2
,Other - Mall,88-15 QUEENS BOULEVARD,New York,Queens,NY,11373,,,1091497,462414,,2013,,91.7,234.9,91.7,234.9,624.4,2494.6,3119,26.7,10363,4018437501,,4018437501,4437281,Queens,1
,Multifamily Housing,55-06 99 STREET,New York,Queens,NY,11368,,,65884,64602,,2013,,99,144,98.2,143.3,273.6,100.8,374.4,,10379,4019070025,,4019070025,4437300,Queens,1
,Other - Education,,New York,Queens,NY,,,,,80983,,2013,,,,,,,83.5,,,16006,4022460041,,4022460041,4437364,Queens,
,Retail Store,61-10 QUEENS BOULEVARD,New York,Queens,NY,11377,,,65000,70000,,2013,87,182.4,231.1,180.9,229.7,694.2,114.7,808.9,,10580,4023140100,,4023140100,4437383,Queens,1
,Other,55-15 GRAND AVENUE,New York,Queens,NY,11378,,,213230,319000,,2013,,,,,,3115.2,,,,10605,4026100336,,4026100336,4437467,Queens,4
,Non-Refrigerated Warehouse,52-08 GRAND AVENUE,New York,Queens,NY,11378,,,167000,180000,,2013,66,42.3,84,,,222.7,277.5,500.2,10.6,10612,4026110141,,4026110141,4437478,Queens,3
,Non-Refrigerated Warehouse,24 WOODWARD AVENUE,New York,Queens,NY,11385,,,120000,110000,,2013,,19.3,29.9,,,101.2,42.5,143.7,1.79,10830,4033930062,,4033930062,4437683;4437685;4824612,Queens,3
,Self-Storage Facility,,New York,Queens,NY,,,,,62245,,2013,,25.4,51.4,24.6,50.2,44.7,59.9,104.6,0.14,16017,4035570004,,4035570004,4437826,Queens,
,Self-Storage Facility,75-02 88 STREET,New York,Queens,NY,11385,,,74009,74009,,2013,,35.7,55.8,35.6,55.6,105.9,52.7,158.6,,10842,4038100161,,4038100161,4437922,Queens,1
,Non-Refrigerated Warehouse,114-02 15 AVENUE,New York,Queens,NY,11356,,,144300,76770,,2013,,,,,,0,0,0,,10863,4040780001,,4040780001,4437963;4462312,Queens,4
,Non-Refrigerated Warehouse,,New York,Queens,NY,,,,,70000,,2013,97,17.9,24.7,,,56.1,16,72.1,0.91,16021,4040800003,,4040800003,4437967,Queens,
,Office,141-07 20 AVENUE,New York,Queens,NY,11357,,,169293,139253,,2013,23,99.4,245.8,,,277.3,769.9,1047.2,14.1,10871,4041470001,,4041470001,4437997,Queens,1
,Retail Store,31-44 125 STREET,New York,Queens,NY,11354,,,134127,116592,,2013,60,75,196.2,,,116.6,532.9,649.5,,10897,4043950002,,4043950002,4438019,Queens,1
,Distribution Center,152-35 10 AVENUE,New York,Queens,NY,11357,,,95932,100284,,2013,5,171.1,424.7,169.3,423,286.9,956.4,1243.3,,10903,4045310460,,4045310460,4438061,Queens,1
,K-12 School,27-40 170 STREET,New York,Queens,NY,11358,,,107867,171000,,2013,87,27.8,47.8,,,225.5,127.8,353.3,,10920,4049260014,,4049260014,4438080,Queens,1
,Office,158-11 JEWEL AVENUE,New York,Queens,NY,11365,,,176600,176600,,2013,4,246.6,409.6,241.8,404.8,2276.2,1082.7,3358.9,,11261,4067900022,,4067900022,4438294;4438295;4438296,Queens,2
,K-12 School,61-00 FRANCIS LEWIS BLVD,New York,Queens,NY,11365,,,319231,264000,,2013,65,66.6,121.3,66.2,120.7,588.6,527.9,1116.5,,11358,4071280002,,4071280002,4438312,Queens,3
,Other - Entertainment/Public Assembly,,New York,Queens,NY,,,,,54500,,2013,,201.1,385.6,201.5,386.1,361.5,371.6,733.1,,16087,4079550300,,4079550300,4438355,Queens,
,Retail Store,242-02 61 AVENUE,New York,Queens,NY,11362,,,344292,49015,,2013,73,55.9,151.3,55.1,149.7,96.9,568.8,665.7,,11438,4082860185,,4082860185,4438369,Queens,4
,Retail Store,,New York,Bronx,NY,,,,,299897,,2013,43,148.5,379.1,147.7,377,664.8,2604.7,3269.5,,12173,2147483647,,2147483647,4438369,Bronx,
,Other,79-33 258 STREET,New York,Queens,NY,11004,,,220000,93000,,2013,,47.6,68.9,,,190.1,68.6,258.7,,11488,4086950001,,4086950001,4438391;4444849;4459240;4861791,Queens,2
,Multifamily Housing,25-40 SHORE BOULEVARD,New York,Queens,NY,11102,,,407200,215156,,2013,,74,232.5,73.2,229.9,0,1296,1296,,10024,4009057501,,4009057501,4438544,Queens,1
,Hospital (General Medical & Surgical),89-10 VAN WYCK EXPWY SR W,New York,Queens,NY,11418,,,484470,259635,,2013,17,327.9,670.8,327.9,670.8,2364.6,3300.7,5665.3,,11517,4093640010,,4093640010,4438605,Queens,2
,Residence Hall/Dormitory,86-45 87 DRIVE,New York,Queens,NY,11421,,,216543,165000,,2013,87,49.1,81,48.7,80.6,352.4,192.7,545.1,,11683,4099380078,,4099380078,4438696,Queens,1
,Multifamily Housing,145-19 LIVERPOOL STREET,New York,Queens,NY,11435,,,51000,58275,,2013,,70.2,108.7,69.6,108,165.4,79.4,244.8,,11695,4100500010,,4100500010,4438723,Queens,1
,Multifamily Housing,4-75 48 AVENUE,New York,Queens,NY,11109,,,684862,587185,,2013,,69.8,119.7,69.4,119.4,1481.2,1062.3,2543.5,,9727,4000190019,,4000190019,4439033,Queens,1
,Office,,New York,Queens,NY,,,,,120000,,2013,,121.3,299.7,121,299.4,247.6,805,1052.6,,15947,4000840011,,4000840011,4439047;4439048;4441059,Queens,
,Other,5-35 46 ROAD,New York,Queens,NY,11101,,,126980,130000,,2013,,25.3,63.9,,,68,190.5,258.5,12.52,9732,4000270005,,4000270005,4439102,Queens,1
,Self-Storage Facility,8-33 40 AVENUE,New York,Queens,NY,11101,,,407140,400000,,2013,,30.1,64.2,29.4,63.5,420.1,516.7,936.8,4.79,9935,4004760001,,4004760001,4439180;4439181;4439182;4439183;4439184;4439185;4439186;4439187;4439188;4440041;4803629;4803630,Queens,1
,Non-Refrigerated Warehouse,51-18 GRAND AVENUE,New York,Queens,NY,11378,,,114000,131000,,2013,,,,,,161.3,,,9.3,10611,4026110136,,4026110136,4439290,Queens,3
,Other,48-05 METROPOLITAN AVENUE,New York,Queens,NY,11385,,,134300,140955,,2013,,16.2,18.6,15.8,18.2,114.9,9,123.9,,10619,4026117501,,4026117501,4439292,Queens,1
,Other,48-05 METROPOLITAN AVENUE,New York,Queens,NY,11385,,,134300,88645,,2013,,16.9,44.2,16.6,43.7,20,91.2,111.2,,10618,4026117501,,4026117501,4439292,Queens,1
,College/University,8150A UTOPIA PARKWAY,New York,Queens,NY,11432,,,4687440,72438,,2013,,150.1,286.5,149,285.3,339.8,363.5,703.3,47.03,11288,4070210001,,4070210001,4439412,Queens,25
,Library,8150A UTOPIA PARKWAY,New York,Queens,NY,11432,,,4687440,137050,,2013,,155.3,303,154.2,301.9,642.9,746.4,1389.3,47.03,11274,4070210001,,4070210001,4439412,Queens,25
,Other - Recreation,8150A UTOPIA PARKWAY,New York,Queens,NY,11432,,,4687440,247424,,2013,,,,,,,635.2,,47.03,11275,4070210001,,4070210001,4439412,Queens,25
,Office,8150A UTOPIA PARKWAY,New York,Queens,NY,11432,,,4687440,6106,,2013,1,288.8,443.1,282.8,436.9,71.9,33.3,105.2,47.03,11276,4070210001,,4070210001,4439412,Queens,25
